#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
atmosphericgases                                  ([no block])                                                                     = Atmospheric Gases
liquidmethane                                     ([no block])                                                                     = Liquid Methane
liquidnitrogen                                    ([no block])                                                                     = Liquid Nitrogen
nitrogen                                          ([no block])                                                                     = Nitrogen
carbondioxide                                     ([no block])                                                                     = CO2 Gas
argon                                             ([no block])                                                                     = Argon
liquidargon                                       ([no block])                                                                     = Liquid Argon
helium                                            ([no block])                                                                     = Helium
sulphuricacid                                     (galacticraftplanets:sulphuric_acid)                                             = Sulphuric Acid
bio.ethanol                                       (forestry:fluid.bio.ethanol)                                                     = Ethanol
biomass                                           (forestry:fluid.biomass)                                                         = Biomass
glass                                             (forestry:fluid.glass)                                                           = Liquid Glass
for.honey                                         (forestry:fluid.for.honey)                                                       = Honey
ice                                               (forestry:fluid.ice)                                                             = Crushed Ice
juice                                             (forestry:fluid.juice)                                                           = Fruit Juice
milk                                              (forestry:fluid.milk)                                                            = Milk
seed.oil                                          (forestry:fluid.seed.oil)                                                        = Seed Oil
short.mead                                        (forestry:fluid.short.mead)                                                      = Short Mead
binnie.growth.medium                              (genetics:binnie.growth.medium)                                                  = Growth Medium
binnie.bacteria                                   (genetics:binnie.bacteria)                                                       = Bacteria
binnie.bacteria.poly                              (genetics:binnie.bacteria.poly)                                                  = Polymerising Bacteria
binnie.dna.raw                                    (genetics:binnie.dna.raw)                                                        = Raw DNA
binnie.bacteria.vector                            (genetics:binnie.bacteria.vector)                                                = Bacteria Vector
binnie.sap                                        (extratrees:binnie.sap)                                                          = Sap
binnie.resin                                      (extratrees:binnie.resin)                                                        = Resin
binnie.latex                                      (extratrees:binnie.latex)                                                        = Latex
binnie.turpentine                                 (extratrees:binnie.turpentine)                                                   = Turpentine
binnie.juice.apple                                (extratrees:binnie.juice.apple)                                                  = Apple Juice
binnie.juice.apricot                              (extratrees:binnie.juice.apricot)                                                = Apricot Juice
binnie.juice.banana                               (extratrees:binnie.juice.banana)                                                 = Banana Juice
binnie.juice.cherry                               (extratrees:binnie.juice.cherry)                                                 = Cherry Juice
binnie.juice.elderberry                           (extratrees:binnie.juice.elderberry)                                             = Elderberry Juice
binnie.juice.lemon                                (extratrees:binnie.juice.lemon)                                                  = Lemon Juice
binnie.juice.lime                                 (extratrees:binnie.juice.lime)                                                   = Lime Juice
binnie.juice.orange                               (extratrees:binnie.juice.orange)                                                 = Orange Juice
binnie.juice.peach                                (extratrees:binnie.juice.peach)                                                  = Peach Juice
binnie.juice.plum                                 (extratrees:binnie.juice.plum)                                                   = Plum Juice
binnie.juice.carrot                               (extratrees:binnie.juice.carrot)                                                 = Carrot Juice
binnie.juice.tomato                               (extratrees:binnie.juice.tomato)                                                 = Tomato Juice
binnie.juice.cranberry                            (extratrees:binnie.juice.cranberry)                                              = Cranberry Juice
binnie.juice.grapefruit                           (extratrees:binnie.juice.grapefruit)                                             = Grapefruit Juice
binnie.juice.olive                                (extratrees:binnie.juice.olive)                                                  = Olive Oil
binnie.juice.pineapple                            (extratrees:binnie.juice.pineapple)                                              = Pineapple Juice
binnie.juice.pear                                 (extratrees:binnie.juice.pear)                                                   = Pear Juice
binnie.juice.white.grape                          (extratrees:binnie.juice.white.grape)                                            = White Grape Juice
binnie.juice.red.grape                            (extratrees:binnie.juice.red.grape)                                              = Red Grape Juice
binnie.cider.apple                                (extratrees:binnie.cider.apple)                                                  = Cider
binnie.wine.apricot                               (extratrees:binnie.wine.apricot)                                                 = Apricot Wine
binnie.wine.banana                                (extratrees:binnie.wine.banana)                                                  = Banana Wine
binnie.wine.cherry                                (extratrees:binnie.wine.cherry)                                                  = Cherry Wine
binnie.wine.elderberry                            (extratrees:binnie.wine.elderberry)                                              = Elderberry Wine
binnie.cider.peach                                (extratrees:binnie.cider.peach)                                                  = Peach Cider
binnie.ciderpear                                  (extratrees:binnie.ciderpear)                                                    = Pear Cider
binnie.wine.plum                                  (extratrees:binnie.wine.plum)                                                    = Plum Wine
binnie.wine.carrot                                (extratrees:binnie.wine.carrot)                                                  = Carrot Wine
binnie.wine.white                                 (extratrees:binnie.wine.white)                                                   = White Wine
binnie.wine.red                                   (extratrees:binnie.wine.red)                                                     = Red Wine
binnie.wine.sparkling                             (extratrees:binnie.wine.sparkling)                                               = Sparkling Wine
binnie.wine.agave                                 (extratrees:binnie.wine.agave)                                                   = Agave Wine
binnie.fermented.potatoes                         (extratrees:binnie.fermented.potatoes)                                           = Fermented Potatoes
binnie.wine.citrus                                (extratrees:binnie.wine.citrus)                                                  = Citrus Wine
binnie.wine.cranberry                             (extratrees:binnie.wine.cranberry)                                               = Cranberry Wine
binnie.wine.pineapple                             (extratrees:binnie.wine.pineapple)                                               = Pineapple Wine
binnie.wine.tomato                                (extratrees:binnie.wine.tomato)                                                  = Tomato Wine
binnie.juice                                      (extratrees:binnie.juice)                                                        = Fruit Wine
binnie.beer.ale                                   (extratrees:binnie.beer.ale)                                                     = Ale
binnie.beer.lager                                 (extratrees:binnie.beer.lager)                                                   = Lager
binnie.beer.wheat                                 (extratrees:binnie.beer.wheat)                                                   = Wheat Beer
binnie.beer.rye                                   (extratrees:binnie.beer.rye)                                                     = Rye Beer
binnie.beer.corn                                  (extratrees:binnie.beer.corn)                                                    = Corn Beer
binnie.beer.stout                                 (extratrees:binnie.beer.stout)                                                   = Stout
binnie.mash.grain                                 (extratrees:binnie.mash.grain)                                                   = Fermented Grain Mash
binnie.mash.wheat                                 (extratrees:binnie.mash.wheat)                                                   = Fermented Wheat Mash
binnie.mash.rye                                   (extratrees:binnie.mash.rye)                                                     = Fermented Rye Mash
binnie.mash.corn                                  (extratrees:binnie.mash.corn)                                                    = Fermented Corn Mash
binnie.spirit.neutral                             (extratrees:binnie.spirit.neutral)                                               = Neutral Spirit
binnie.vodka                                      (extratrees:binnie.vodka)                                                        = Vodka
binnie.rum.white                                  (extratrees:binnie.rum.white)                                                    = White Rum
binnie.rum.dark                                   (extratrees:binnie.rum.dark)                                                     = Dark Rum
binnie.whiskey                                    (extratrees:binnie.whiskey)                                                      = Whiskey
binnie.whiskey.corn                               (extratrees:binnie.whiskey.corn)                                                 = Bourbon
binnie.whiskey.rye                                (extratrees:binnie.whiskey.rye)                                                  = Rye Whiskey
binnie.whiskey.wheat                              (extratrees:binnie.whiskey.wheat)                                                = Wheat Whiskey
binnie.wine.fortified                             (extratrees:binnie.wine.fortified)                                               = Fortified Wine
binnie.tequila                                    (extratrees:binnie.tequila)                                                      = Tequila
binnie.brandy.grape                               (extratrees:binnie.brandy.grape)                                                 = Brandy
binnie.brandy.apple                               (extratrees:binnie.brandy.apple)                                                 = Apple Brandy
binnie.brandy.pear                                (extratrees:binnie.brandy.pear)                                                  = Pear Brandy
binnie.brandy.apricot                             (extratrees:binnie.brandy.apricot)                                               = Apricot Brandy
binnie.brandy.plum                                (extratrees:binnie.brandy.plum)                                                  = Plum Brandy
binnie.brandy.cherry                              (extratrees:binnie.brandy.cherry)                                                = Cherry Brandy
binnie.brandy.elderberry                          (extratrees:binnie.brandy.elderberry)                                            = Elderberry Brandy
binnie.brandy.citrus                              (extratrees:binnie.brandy.citrus)                                                = Citrus Brandy
binnie.brandy.fruit                               (extratrees:binnie.brandy.fruit)                                                 = Fruit Brandy
binnie.spirit.sugarcane                           (extratrees:binnie.spirit.sugarcane)                                             = Cachaca
binnie.spirit.gin                                 (extratrees:binnie.spirit.gin)                                                   = Gin
binnie.liquor.apple                               (extratrees:binnie.liquor.apple)                                                 = Apple Liquor
binnie.liquor.pear                                (extratrees:binnie.liquor.pear)                                                  = Pear Liquor
binnie.liquor.cherry                              (extratrees:binnie.liquor.cherry)                                                = Cherry Liquor
binnie.liquor.elderberry                          (extratrees:binnie.liquor.elderberry)                                            = Elderberry Liquor
binnie.liquor.apricot                             (extratrees:binnie.liquor.apricot)                                               = Apricot Liquor
binnie.liquor.fruit                               (extratrees:binnie.liquor.fruit)                                                 = Fruit Liquor
binnie.liqueur.almond                             (extratrees:binnie.liqueur.almond)                                               = Almond Liqueur
binnie.liqueur.orange                             (extratrees:binnie.liqueur.orange)                                               = Orange Liqueur
binnie.liqueur.banana                             (extratrees:binnie.liqueur.banana)                                               = Banana Liqueur
binnie.liqueur.chocolate                          (extratrees:binnie.liqueur.chocolate)                                            = Chocolate Liqueur
binnie.liqueur.mint                               (extratrees:binnie.liqueur.mint)                                                 = Mint Liqueur
binnie.liqueur.hazelnut                           (extratrees:binnie.liqueur.hazelnut)                                             = Hazelnut Liqueur
binnie.liqueur.cinnamon                           (extratrees:binnie.liqueur.cinnamon)                                             = Cinnamon Liqueur
binnie.liqueur.coffee                             (extratrees:binnie.liqueur.coffee)                                               = Coffee Liqueur
binnie.liqueur.melon                              (extratrees:binnie.liqueur.melon)                                                = Melon Liqueur
binnie.liqueur.anise                              (extratrees:binnie.liqueur.anise)                                                = Anise Liqueur
binnie.liqueur.peach                              (extratrees:binnie.liqueur.peach)                                                = Peach Liqueur
binnie.liqueur.lemon                              (extratrees:binnie.liqueur.lemon)                                                = Lemon Liqueur
binnie.liqueur.herbal                             (extratrees:binnie.liqueur.herbal)                                               = Herbal Liqueur
binnie.liqueur.cherry                             (extratrees:binnie.liqueur.cherry)                                               = Cherry Liqueur
binnie.liqueur.blackcurrant                       (extratrees:binnie.liqueur.blackcurrant)                                         = Blackcurrant Liqueur
binnie.liqueur.blackberry                         (extratrees:binnie.liqueur.blackberry)                                           = Blackberry Liqueur
binnie.liqueur.raspberry                          (extratrees:binnie.liqueur.raspberry)                                            = Raspberry Liqueur
sand                                              (biomesoplenty:sand)                                                             = Quicksand
honey                                             (biomesoplenty:honey)                                                            = Honey
blood                                             (biomesoplenty:blood)                                                            = Blood
poison                                            (biomesoplenty:poison)                                                           = Poison
hot_spring_water                                  (biomesoplenty:hot_spring_water)                                                 = Hot Spring Water
creosote                                          (immersiveengineering:fluidcreosote)                                             = Creosote Oil
coal                                              ([no block])                                                                     = Liquifacted Coal
crude_oil                                         (thermalfoundation:fluid_crude_oil)                                              = Crude Oil
refined_oil                                       ([no block])                                                                     = Naphtha
refined_fuel                                      ([no block])                                                                     = Refined Fuel
sap                                               ([no block])                                                                     = Sap
syrup                                             ([no block])                                                                     = Syrup
resin                                             ([no block])                                                                     = Resin
tree_oil                                          ([no block])                                                                     = Tree Oil
seed_oil                                          ([no block])                                                                     = Seed Oil
biocrude                                          ([no block])                                                                     = Biocrude
refined_biofuel                                   ([no block])                                                                     = Grassoline
mushroom_stew                                     ([no block])                                                                     = Mushroom Stew
experience                                        ([no block])                                                                     = Essence of Knowledge
potion                                            ([no block])                                                                     = Potion
potion_splash                                     ([no block])                                                                     = Splash Potion
potion_lingering                                  ([no block])                                                                     = Lingering Potion
redstone                                          (thermalfoundation:fluid_redstone)                                               = Destabilized Redstone
glowstone                                         (thermalfoundation:fluid_glowstone)                                              = Energized Glowstone
ender                                             (thermalfoundation:fluid_ender)                                                  = Resonant Ender
pyrotheum                                         (thermalfoundation:fluid_pyrotheum)                                              = Blazing Pyrotheum
cryotheum                                         (thermalfoundation:fluid_cryotheum)                                              = Gelid Cryotheum
aerotheum                                         (thermalfoundation:fluid_aerotheum)                                              = Zephyrean Aerotheum
petrotheum                                        (thermalfoundation:fluid_petrotheum)                                             = Tectonic Petrotheum
mana                                              (thermalfoundation:fluid_mana)                                                   = Primal Mana
platinum                                          ([no block])                                                                     = Molten Platinum
iridium                                           ([no block])                                                                     = Molten Iridium
invar                                             ([no block])                                                                     = Molten Invar
constantan                                        (immersiveengineering:molten_constantan)                                         = Molten Constantan
signalum                                          ([no block])                                                                     = Molten Signalum
lumium                                            ([no block])                                                                     = Molten Lumium
enderium                                          ([no block])                                                                     = Molten Enderium
eutectic.eutectic_csnak_alloy                     ([no block])                                                                     = fluid.eutectic.eutectic_csnak_alloy
eutectic.eutectic_enriched_naquadah_gallium_csk_alloy([no block])                                                                     = fluid.eutectic.eutectic_enriched_naquadah_gallium_csk_alloy
zb_liquid_nitrogen                                ([no block])                                                                     = Liquid Nitrogen
indalloy_140                                      ([no block])                                                                     = Indalloy 140
molten.mar_200                                    ([no block])                                                                     = Molten MAR-M200 Steel
mar_200                                           ([no block])                                                                     = Liquid MAR-M200 Steel
molten.tanmolyium_beta_c                          ([no block])                                                                     = Molten Tanmolyium Beta-C
tanmolyium_beta_c                                 ([no block])                                                                     = Liquid Tanmolyium Beta-C
molten.precious_metals_alloy                      ([no block])                                                                     = Molten Precious Metals Alloy
precious_metals_alloy                             ([no block])                                                                     = Liquid Precious Metals Alloy
molten.adamantium_alloy                           ([no block])                                                                     = Molten Adamantium Alloy
adamantium_alloy                                  ([no block])                                                                     = Liquid Adamantium Alloy
molten.hdcs                                       ([no block])                                                                     = Molten High Durability Compound Steel
hdcs                                              ([no block])                                                                     = Liquid High Durability Compound Steel
molten.enderium                                   ([no block])                                                                     = Molten Enderium
molten.energetic_alloy                            ([no block])                                                                     = Molten Energetic Alloy
energetic_alloy                                   ([no block])                                                                     = Liquid Energetic Alloy
molten.inconel_792                                ([no block])                                                                     = Molten Inconel-792
inconel_792                                       ([no block])                                                                     = Liquid Inconel-792
molten.grisium                                    ([no block])                                                                     = Molten Grisium
grisium                                           ([no block])                                                                     = Liquid Grisium
molten.nitinol_60                                 ([no block])                                                                     = Molten Nitinol 60
nitinol_60                                        ([no block])                                                                     = Liquid Nitinol 60
hastelloy_n                                       ([no block])                                                                     = Liquid Hastelloy-N
hastelloy_w                                       ([no block])                                                                     = Liquid Hastelloy-W
maraging_steel_250                                ([no block])                                                                     = Liquid Maraging Steel 250
mar_ce_m_200                                      ([no block])                                                                     = Liquid MAR-Ce-M200
molten.artherium_sn                               ([no block])                                                                     = Molten Artherium-Sn
artherium_sn                                      ([no block])                                                                     = Liquid Artherium-Sn
molten.dalisenite                                 ([no block])                                                                     = Molten Dalisenite
dalisenite                                        ([no block])                                                                     = Liquid Dalisenite
molten.signalum                                   ([no block])                                                                     = Molten Signalum
molten.vibrant_alloy                              ([no block])                                                                     = Molten Vibrant Alloy
vibrant_alloy                                     ([no block])                                                                     = Liquid Vibrant Alloy
molten.lumium                                     ([no block])                                                                     = Molten Lumium
eglin_steel                                       ([no block])                                                                     = Liquid Eglin Steel
fluxed_electrum                                   ([no block])                                                                     = Liquid Fluxed Electrum
molten.hikarium                                   ([no block])                                                                     = Molten Hikarium
hikarium                                          ([no block])                                                                     = Liquid Hikarium
molten.pikyonium_64_b                             ([no block])                                                                     = Molten Pikyonium 64B
pikyonium_64_b                                    ([no block])                                                                     = Liquid Pikyonium 64B
aluminium                                         ([no block])                                                                     = Liquid Aluminium
americium                                         ([no block])                                                                     = Liquid Americium
plasma.americium                                  ([no block])                                                                     = Americium Plasma
antimony                                          ([no block])                                                                     = Liquid Antimony
plasma.argon                                      ([no block])                                                                     = Argon Plasma
arsenic                                           ([no block])                                                                     = Arsenic Vapor
beryllium                                         ([no block])                                                                     = Liquid Beryllium
bismuth                                           ([no block])                                                                     = Liquid Bismuth
carbon                                            ([no block])                                                                     = Liquid Carbon
cerium                                            ([no block])                                                                     = Liquid Cerium
chlorine                                          (immersiveintelligence:chlorine)                                                 = Chlorine Gas
chrome                                            ([no block])                                                                     = Liquid Chrome
darmstadtium                                      ([no block])                                                                     = Liquid Darmstadtium
deuterium                                         ([no block])                                                                     = Deuterium Gas
europium                                          ([no block])                                                                     = Liquid Europium
fluorine                                          ([no block])                                                                     = Fluorine Gas
gallium                                           ([no block])                                                                     = Liquid Gallium
liquid_helium                                     ([no block])                                                                     = Liquid Helium
plasma.helium                                     ([no block])                                                                     = Helium Plasma
helium_3                                          ([no block])                                                                     = Helium-3
indium                                            ([no block])                                                                     = Liquid Indium
plasma.iron                                       ([no block])                                                                     = Iron Plasma
krypton                                           ([no block])                                                                     = Krypton
lanthanum                                         ([no block])                                                                     = Liquid Lanthanum
lithium                                           ([no block])                                                                     = Liquid Lithium
lutetium                                          ([no block])                                                                     = Liquid Lutetium
magnesium                                         (tconstruct:molten_magnesium)                                                    = Liquid Magnesium
manganese                                         ([no block])                                                                     = Liquid Manganese
mercury                                           ([no block])                                                                     = Mercury
molybdenum                                        ([no block])                                                                     = Liquid Molybdenum
neodymium                                         ([no block])                                                                     = Liquid Neodymium
neon                                              ([no block])                                                                     = Neon Gas
plasma.nickel                                     ([no block])                                                                     = Nickel Plasma
niobium                                           ([no block])                                                                     = Liquid Niobium
plasma.nitrogen                                   ([no block])                                                                     = Nitrogen Plasma
osmium                                            ([no block])                                                                     = Liquid Osmium
liquid_oxygen                                     ([no block])                                                                     = Liquid Oxygen
plasma.oxygen                                     ([no block])                                                                     = Oxygen Plasma
palladium                                         ([no block])                                                                     = Liquid Palladium
plutonium                                         ([no block])                                                                     = Liquid Plutonium 239
plutonium_241                                     ([no block])                                                                     = Liquid Plutonium 241
potassium                                         ([no block])                                                                     = Liquid Potassium
radon                                             ([no block])                                                                     = Radon Gas
